location_id,location_name,latitude,longitude,name,AreaName,RegionName
5791,Marina Ctr Ter,1.2914727,103.86149,kml_37,DOWNTOWN CORE,CENTRAL REGION
5792,Marina Ctr Ter,1.2914727,103.86149,kml_37,DOWNTOWN CORE,CENTRAL REGION
5793,NTUC HEALTH NURSING HME,1.3409711,103.69167,kml_10,JURONG WEST,WEST REGION
5794,Blk 974,1.339252,103.69311,kml_10,JURONG WEST,WEST REGION
5795,Blk 986 CP,1.3368089,103.69406,kml_10,JURONG WEST,WEST REGION
5796,Blk 934,1.3420274,103.68898,kml_10,JURONG WEST,WEST REGION
5797,Opp Blk 974,1.3400428,103.692924,kml_10,JURONG WEST,WEST REGION
5798,Bef Yunnan Cres,1.3404365,103.69136,kml_10,JURONG WEST,WEST REGION
5799,Juying Pr Sch,1.3390652,103.68876,kml_10,JURONG WEST,WEST REGION
5803,Opp Loyang Townhse,1.3792356,103.964264,kml_16,PASIR RIS,EAST REGION
5805,Blk 297D,1.3783635,103.743164,kml_6,CHOA CHU KANG,WEST REGION
5806,Opp Blk 295,1.377987,103.7412,kml_6,CHOA CHU KANG,WEST REGION
5808,Blk 489A,1.3753228,103.74031,kml_6,CHOA CHU KANG,WEST REGION
5809,Blk 802B,1.3745145,103.74273,kml_6,CHOA CHU KANG,WEST REGION
5810,Blk 803,1.3743613,103.74272,kml_6,CHOA CHU KANG,WEST REGION
5811,Opp Blk 489A,1.3751256,103.74018,kml_6,CHOA CHU KANG,WEST REGION
5812,Opp The JTC Summit,1.3320571,103.74185,kml_9,JURONG EAST,WEST REGION
5817,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5818,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5819,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5820,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5821,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5822,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5823,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5824,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5825,Yishun Int,1.4284,103.8361,kml_55,YISHUN,NORTH REGION
5826,Blk 490B,1.3754319,103.741974,kml_6,CHOA CHU KANG,WEST REGION
5833,Opp White Sands Pri Sch,1.36477,103.96189,kml_16,PASIR RIS,EAST REGION
5834,Opp Opp Blk 187,1.3646,103.95896,kml_16,PASIR RIS,EAST REGION
5835,Opp Blk 108,1.36767,103.95648,kml_16,PASIR RIS,EAST REGION
5836,Blk 540,1.3926772,103.74331,kml_6,CHOA CHU KANG,WEST REGION
5837,Blk 537,1.3923142,103.74449,kml_6,CHOA CHU KANG,WEST REGION
5854,Blk 619,1.400638,103.74738,kml_6,CHOA CHU KANG,WEST REGION
5855,Blk 681,1.4027997,103.74594,kml_6,CHOA CHU KANG,WEST REGION
5856,Opp Blk 670,1.4035145,103.74767,kml_6,CHOA CHU KANG,WEST REGION
5857,Opp Blk 666,1.4027488,103.75051,kml_6,CHOA CHU KANG,WEST REGION
5860,Opp Blk 661,1.4012719,103.75115,kml_6,CHOA CHU KANG,WEST REGION
5861,Regent Gr Condo,1.3998408,103.749916,kml_6,CHOA CHU KANG,WEST REGION
5868,Bef SAFRA Yishun,1.4259921,103.840645,kml_55,YISHUN,NORTH REGION
5869,Opp SAFRA Yishun,1.4254819,103.8402,kml_55,YISHUN,NORTH REGION
5870,Opp Blk 333C,1.431392,103.8457,kml_55,YISHUN,NORTH REGION
5871,Opp Blk 987A,1.336298,103.69406,kml_10,JURONG WEST,WEST REGION
5872,Joo Koon Int,1.3269726,103.6784,kml_17,PIONEER,WEST REGION
5873,Joo Koon Int,1.3269726,103.6784,kml_17,PIONEER,WEST REGION
5874,Blk 590A,1.4505993,103.826965,kml_26,SEMBAWANG,NORTH REGION
5875,Twin Waterfalls,1.4023894,103.896736,kml_18,PUNGGOL,NORTH-EAST REGION
5876,Aft TPE,1.4017253,103.89632,kml_18,PUNGGOL,NORTH-EAST REGION
5877,Changi Business Pk Ter,1.341888,103.96714,kml_32,TAMPINES,EAST REGION
5878,Changi Business Pk Ter,1.341888,103.96714,kml_32,TAMPINES,EAST REGION
5881,Honeywell Bldg,1.3367858,103.965996,kml_32,TAMPINES,EAST REGION
5885,Aft Sengkang East Dr,1.3799843,103.901955,kml_8,HOUGANG,NORTH-EAST REGION
5886,Bef Sengkang East Dr,1.3801874,103.90138,kml_27,SENGKANG,NORTH-EAST REGION
5887,Bef Punggol Rd,1.3794893,103.89873,kml_8,HOUGANG,NORTH-EAST REGION
5888,Aft Punggol Rd,1.3797135,103.89819,kml_27,SENGKANG,NORTH-EAST REGION
5889,Opp Sengkang Fire Stn,1.3797213,103.89527,kml_8,HOUGANG,NORTH-EAST REGION
5890,Bef Sengkang Fire Stn,1.3801329,103.89478,kml_27,SENGKANG,NORTH-EAST REGION
5891,Changi City Pt,1.3332723,103.9621,kml_32,TAMPINES,EAST REGION
5892,Opp Changi City Pt,1.3331604,103.9622,kml_32,TAMPINES,EAST REGION
5893,Bet Blks 443A/443B,1.381333,103.769325,kml_2,BUKIT PANJANG,WEST REGION
5894,Blk 442D,1.3808452,103.77115,kml_2,BUKIT PANJANG,WEST REGION
5895,Blk 672C,1.418198,103.84271,kml_55,YISHUN,NORTH REGION
5896,Opp Blk 672C,1.4175655,103.842,kml_55,YISHUN,NORTH REGION
5897,BLK 636A,1.386692,103.75877,kml_2,BUKIT PANJANG,WEST REGION
5898,Bef Blk 629A Cp,1.3865874,103.758865,kml_2,BUKIT PANJANG,WEST REGION
5899,Blk 548B,1.3892715,103.7688,kml_2,BUKIT PANJANG,WEST REGION
5900,Blk 547C,1.3885419,103.76843,kml_2,BUKIT PANJANG,WEST REGION
