origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon
4951,4931,morning,1.1,11,84609,84479,1.3379114,1.3374211,103.931305,103.92253
3096,3114,morning,0.8,12,46501,46591,1.4379694,1.4306896,103.77119,103.773224
3072,3097,evening,1.1,13,46371,46509,1.429172,1.438044,103.77253,103.770966
4042,4038,morning,0.6,44,63299,63279,1.3526317,1.356238,103.888336,103.88983
3103,3022,afternoon,2.8,12,46539,46111,1.4320996,1.4413222,103.77822,103.77373
3415,3430,afternoon,1.0,11,52371,52481,1.3399297,1.3352484,103.856514,103.85859
4037,4041,afternoon,0.7,22,63271,63291,1.356395,1.35225,103.88998,103.887856
5819,3909,morning,16.9,14,59009,60119,1.4284,1.3188043,103.8361,103.8641
4044,4038,morning,0.9,16,63309,63279,1.3520595,1.356238,103.88581,103.88983
4937,4930,morning,1.8,13,84511,84471,1.3320698,1.3373331,103.91329,103.922
1894,2352,morning,1.3,8,21419,28099,1.3438807,1.344324,103.71058,103.71927
2914,6234,morning,1.0,11,44641,44811,1.3817806,1.3871547,103.762856,103.76021
3549,3553,morning,0.8,12,54221,54241,1.3699561,1.3691351,103.83959,103.84618
3650,3564,morning,4.0,12,55149,54291,1.3814764,1.3691887,103.83927,103.858864
6630,2322,morning,1.3,9,27451,27379,1.3512862,1.3480505,103.70415,103.700874
1785,1676,morning,0.7,10,20109,17179,1.3208522,1.3152819,103.76207,103.76536
1620,1764,morning,2.4,14,16151,19071,1.3007613,1.305155,103.769936,103.78108
4773,5029,morning,2.0,20,82079,92121,1.3080112,1.3072221,103.895195,103.90677
3646,3553,morning,2.63,9,55129,54241,1.3795531,1.3691351,103.8355,103.84618
5065,5071,morning,1.5,10,93011,93041,1.3082297,1.3112068,103.92152,103.9334
1895,2425,morning,1.4,11,21421,28529,1.3472031,1.3511792,103.71033,103.72065
4513,4478,morning,1.6,12,75339,75071,1.358463,1.348933,103.93415,103.93654
3507,6802,morning,2.8,10,53371,55509,1.3599434,1.3811324,103.843796,103.84556
1929,1925,morning,0.6,21,21599,21579,1.3346835,1.3301347,103.72269,103.72318
4081,4852,morning,5.6,6,64101,65149,1.3721212,1.4044405,103.87654,103.89693
2911,2822,evening,1.4,12,44629,44009,1.3785117,1.385869,103.73645,103.74579
1899,2289,morning,3.9,10,21449,27131,1.3463981,1.34194,103.71306,103.68853
