origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon,origin_area_code,origin_area_name,origin_region_name,origin_location_id_1,destination_area_code,destination_area_name,destination_region_name,destination_location_id_1
6636,6403,afternoon,1.9,13,67491,67291,1.3908753,1.3871796,103.874664,103.88972,kml_27,SENGKANG,NORTH-EAST REGION,6636,kml_27,SENGKANG,NORTH-EAST REGION,6403
6091,6640,morning,1.0,10,64629,67609,1.38154,1.3839331,103.888054,103.89304,kml_8,HOUGANG,NORTH-EAST REGION,6091,kml_27,SENGKANG,NORTH-EAST REGION,6640
6226,2658,afternoon,5.3,6,17009,42169,1.3149158,1.3403858,103.76412,103.77366,kml_7,CLEMENTI,WEST REGION,6226,kml_3,BUKIT TIMAH,CENTRAL REGION,2658
63,24,night,29.9,11,63,24,1.319582,1.334308,103.861938,103.741958,kml_32,TAMPINES,EAST REGION,63,kml_9,JURONG EAST,WEST REGION,24
3502,3439,morning,3.3,9,53349,53009,1.3637398,1.3504554,103.83379,103.849884,kml_21,BISHAN,CENTRAL REGION,3502,kml_21,BISHAN,CENTRAL REGION,3439
3880,3840,morning,3.0,10,59471,59231,1.4211154,1.4353797,103.84902,103.83681,kml_55,YISHUN,NORTH REGION,3880,kml_55,YISHUN,NORTH REGION,3840
24,63,morning,29.9,11,24,63,1.334308,1.319582,103.741958,103.861938,kml_9,JURONG EAST,WEST REGION,24,kml_32,TAMPINES,EAST REGION,63
6815,4255,morning,1.3,10,66009,66399,1.3504661,1.3514873,103.87169,103.86324,kml_28,SERANGOON,NORTH-EAST REGION,6815,kml_28,SERANGOON,NORTH-EAST REGION,4255
5821,4002,morning,14.17,11,59009,63071,1.4284,1.3597807,103.8361,103.893326,kml_55,YISHUN,NORTH REGION,5821,kml_8,HOUGANG,NORTH-EAST REGION,4002
27,46,night,18.5,14,27,46,1.33884,1.432544,103.705546,103.774073,kml_10,JURONG WEST,WEST REGION,27,kml_54,WOODLANDS,NORTH REGION,46
4626,4587,afternoon,2.3,26,77239,77009,1.3774183,1.373564,103.937935,103.95048,kml_16,PASIR RIS,EAST REGION,4626,kml_16,PASIR RIS,EAST REGION,4587
3914,3921,morning,0.8,10,60161,60211,1.324773,1.3285507,103.86557,103.8705,kml_11,KALLANG,CENTRAL REGION,3914,kml_35,TOA PAYOH,CENTRAL REGION,3921
2655,6226,morning,5.2,6,42151,17009,1.3400925,1.3149158,103.77532,103.76412,kml_3,BUKIT TIMAH,CENTRAL REGION,2655,kml_7,CLEMENTI,WEST REGION,6226
4282,4082,morning,2.0,10,67051,64109,1.3873944,1.3720233,103.873024,103.87691,kml_27,SENGKANG,NORTH-EAST REGION,4282,kml_8,HOUGANG,NORTH-EAST REGION,4082
3546,3549,morning,1.2,12,54209,54221,1.3763812,1.3699561,103.83952,103.83959,kml_19,ANG MO KIO,NORTH-EAST REGION,3546,kml_19,ANG MO KIO,NORTH-EAST REGION,3549
