area,child_no,caregiver_no
ANG MO KIO,7,7
BEDOK,6,6
BISHAN,4,4
BUKIT BATOK,5,5
BUKIT MERAH,8,8
BUKIT PANJANG,5,5
BUKIT TIMAH,4,4
CHANGI,1,1
CHOA CHU KANG,6,6
CLEMENTI,2,2
DOWNTOWN CORE,1,1
GEYLANG,5,5
HOUGANG,15,15
JURONG EAST,5,5
JURONG WEST,11,11
KALLANG,3,4
MARINE PARADE,3,3
NEWTON,1,1
NOVENA,5,5
OUTRAM,1,1
PASIR RIS,4,4
PUNGGOL,8,8
QUEENSTOWN,7,7
ROCHOR,2,2
SEMBAWANG,3,3
SENGKANG,13,13
SERANGOON,9,9
TAMPINES,9,9
TOA PAYOH,11,11
WOODLANDS,4,4
YISHUN,7,8
