area,child_no,caregiver_no
ANG MO KIO,239,278
BEDOK,274,322
BISHAN,121,145
BUKIT BATOK,186,216
BUKIT MERAH,255,328
BUKIT PANJANG,202,240
BUKIT TIMAH,38,52
CENTRAL WATER CATCHMENT,2,3
CHANGI,3,6
CHOA CHU KANG,350,400
CLEMENTI,159,191
DOWNTOWN CORE,11,23
GEYLANG,149,187
HOUGANG,339,410
JURONG EAST,156,183
JURONG WEST,566,643
KALLANG,120,143
MARINE PARADE,32,39
MUSEUM,2,2
NEWTON,5,6
NOVENA,47,57
ORCHARD,1,1
OUTRAM,16,24
PASIR RIS,197,239
PUNGGOL,391,456
QUEENSTOWN,150,183
RIVER VALLEY,3,9
ROCHOR,17,22
SEMBAWANG,187,219
SENGKANG,597,688
SERANGOON,150,207
SINGAPORE RIVER,5,10
TAMPINES,380,405
TANGLIN,2,2
TOA PAYOH,204,345
WOODLANDS,498,585
YISHUN,318,384
